variant_id,stop_id
795750,1396
795818,1629
795818,2031
795819,1603
795819,1497
796993,1541
797039,1603
797039,1497
797086,1396
800960,3131
803118,637
804516,568
804516,572
805095,3134
805419,73
805422,83
805422,2482
805422,73
805423,2838
805423,3476
805423,74
805423,1025
805424,2838
805424,3476
805424,74
805424,1025
805425,2838
805425,3476
805425,74
805425,1025
805426,74
805426,1025
805427,74
805427,1025
805428,74
805428,1025
805429,74
805429,1025
805440,1705
805675,4248
805675,2040
805675,1705
805676,4248
805676,2040
805676,1705
806431,1704
806432,1704
806432,2477
806432,4248
806456,3134
806466,1705
806466,4201
806537,115
806537,1139
806537,981
806537,799
806537,1025
806820,4566
806820,4256
806820,2113
806820,568
806820,575
808912,647
808912,637
808914,638
808914,700
808963,638
808964,637
809133,2899
809133,3422
809179,3421
809212,2479
809307,1869
809324,1868
809678,636
809869,2482
809869,73
809869,3467
809869,2839
809873,4248
809873,2040
809873,1705
809910,4013
809910,3976
809910,4026
809910,4002
809911,4003
809911,4025
809911,3976
809911,4014
809920,1705
810127,1398
810127,3522
810127,1418
810127,2031
810127,1868
810135,1897
810135,2034
810135,1417
810135,3521
810135,1541
810473,3667
810473,3586
810558,1542
811126,2838
811126,3476
811126,74
811126,1025
811252,636
811735,637
812277,115
812277,1139
812277,981
812277,799
812277,1025
812278,91
812278,798
812278,994
812281,91
812281,798
812281,994
812322,884
812322,217
812322,115
812322,91
812322,3136
812323,884
812323,217
812323,115
812323,91
812323,3136
812324,242
812324,884
812324,217
812324,115
812324,91
812325,242
812325,884
812325,217
812325,115
812325,91
812325,3136
812326,94
812326,1125
812326,3762
812326,213
812502,1704
812502,2251
812502,895
812503,992
812503,1015
812503,1705
812504,1704
812504,2251
812505,1015
812505,1705
812507,3977
812507,992
812507,1705
812508,1704
812508,2251
812508,895
812512,992
812512,1015
812513,992
812513,1015
812513,1705
812516,3871
812516,992
812516,1015
812517,3871
812517,992
812517,1015
812517,1705
812518,3871
812518,992
812518,1015
812518,1705
812530,1015
812531,1015
812531,1705
812532,1015
812532,1705
812540,1705
812541,3977
812541,992
812541,1705
812556,1704
812556,2251
812556,895
812556,3870
812782,638
812782,3124
812783,3123
812783,636
812785,638
812785,3124
812785,4439
812788,4521
812788,3123
812788,636
812948,1249
812948,3134
813047,1160
813047,824
813047,651
813096,788
813096,2554
813157,604
813157,711
813157,3422
813213,2479
813249,115
813249,91
813259,637
813259,668
813373,115
813373,1025
813374,242
813374,213
813374,115
813374,1025
813401,638
813411,115
813411,91
813411,3136
813412,1330
813943,3901
813943,304
813943,2531
813943,884
813943,217
813987,1704
813987,149
813988,148
813988,1705
813989,1704
813989,149
813990,148
813990,1705
813991,1704
813991,72
813991,1125
813991,2570
813991,114
813992,115
813992,2569
813992,2482
813992,73
813992,1705
813993,1704
813993,149
813993,912
813995,148
813996,148
813996,1705
813997,148
813997,1705
813998,153
813998,148
813998,1705
813999,153
813999,148
814000,153
814000,148
814000,1705
814001,153
814001,148
814001,1705
814002,148
814003,148
814003,1705
814004,148
814004,1705
814005,153
814005,148
814006,153
814006,148
814006,1705
814008,153
814008,148
814008,1705
814009,1704
814009,149
814009,153
814010,115
814010,2569
814010,2482
814010,73
814010,1705
814011,115
814011,2569
814011,2482
814011,73
814011,1705
814012,115
814012,2569
814012,2482
814012,73
814091,1897
814091,2034
814091,1417
814091,3521
814091,1541
814091,1375
814092,1897
814092,2034
814092,1417
814092,3521
814092,1541
814092,1375
814462,213
814462,214
814462,1176
814462,1741
814544,1176
814544,1741
814553,255
814576,1249
814576,27
814599,4125
814599,4137
814599,4122
814599,3906
814599,3514
814599,3519
814603,4376
814603,4125
814603,4137
814603,4122
814603,3906
814603,3514
814603,3519
814604,4125
814604,4137
814604,4122
814617,378
814617,3890
814617,480
814617,4138
814617,3134
814618,3134
814618,4122
814618,481
814618,3891
814618,2341
814630,378
814630,3890
814630,480
814630,4138
814630,3134
814631,3134
814631,4122
814631,481
814631,3891
814631,2341
814632,378
814632,3890
814632,480
814632,4138
814632,3134
814633,3134
814633,4122
814633,481
814633,3891
814633,2342
814635,378
814635,3890
814635,480
814635,4138
814635,3134
814681,1160
814685,213
814685,216
814685,228
814685,1176
814685,1178
814685,1248
814685,711
814685,3421
814685,2305
814685,728
814688,213
814764,3134
814764,4122
814764,481
814764,3891
814764,2341
814858,4685
814858,1534
814858,1418
814858,2031
815006,469
815006,3132
815006,3906
815006,3104
815006,3526
815006,547
815006,242
815006,217
815006,2479
815031,4681
815031,240
815031,546
815043,4652
815043,637
815046,639
815046,3899
815099,3906
815099,3104
815099,3526
815099,547
815099,242
815099,217
815099,2479
815108,603
815108,1900
815108,1740
815123,603
815123,1740
815131,613
815137,4652
815137,1892
815137,603
815137,1900
815144,4652
815145,4652
815186,4681
815186,240
815186,546
815186,4627
815186,3517
815198,639
815198,3895
815199,4652
815199,637
815200,4652
815208,568
815208,1189
815208,935
815208,613
815208,4652
815208,637
815208,644
815208,1329
815208,665
815232,469
815232,2905
815232,435
815232,1011
815233,469
815233,2905
815233,435
815233,1011
815234,125
815234,2479
815234,115
815235,2570
815235,788
815235,2554
815444,539
815444,527
815449,539
815449,527
815450,3272
815450,539
815450,527
815454,2274
815454,3415
815454,2828
815454,1819
815454,1289
815454,2028
815454,884
815454,217
815454,212
815455,2274
815455,3415
815455,2828
815455,613
815456,213
815456,1176
815456,613
815522,148
815522,1705
815522,4201
815538,3977
815538,992
815538,1015
815538,1705
815544,2482
815544,73
815544,1705
815553,3598
815553,4590
815553,3421
815553,2305
815553,2871
815553,3652
815553,3646
815553,3036
815553,1979
815553,3669
815553,1702
815553,3706
815553,3588
815553,3666
815553,3722
815554,3667
815554,3707
815554,1703
815554,3668
815554,1731
815554,3037
815554,3647
815554,3653
815554,2899
815554,2274
815554,3419
815554,4591
815554,3599
815610,3721
815610,3644
815610,1731
815610,3647
815610,3653
815610,2899
815610,2274
815610,3419
815610,4591
815610,3599
815612,3598
815612,4590
815612,3421
815612,2305
815612,2871
815612,3652
815612,3646
815612,1731
815612,3645
815612,3722
815612,3852
815613,576
815613,567
815613,2113
815613,4255
815613,3641
815613,4254
815613,3600
815614,3600
815614,1086
815614,3632
815614,4254
815614,4566
815614,4256
815614,2113
815614,568
815614,575
815643,637
815643,666
815643,212
815643,195
815643,179
815665,4652
815665,637
815665,666
815665,212
815665,255
815665,271
815666,666
815666,212
815666,255
815666,271
815666,2863
815688,3977
815688,992
815688,1015
815688,1705
815689,2482
815689,73
815690,895
815694,895
815694,3976
815695,1704
815695,895
815695,3976
815696,3977
815696,992
815696,1015
815696,1705
815697,895
815922,3421
815922,728
815922,3244
815922,3720
815922,4596
815922,3669
815922,3706
815922,3709
815922,1081
815922,3064
815922,3672
815922,4422
815923,4423
815923,3671
815923,3065
815923,1082
815923,3707
815923,3670
815923,4597
815923,3720
815923,727
815923,3415
815995,3720
815995,3245
815995,727
815995,3415
815999,3420
815999,2782
815999,4566
816001,3420
816001,2782
816001,3641
816001,4254
816002,3420
816002,2782
816002,3641
816002,3621
816003,3420
816003,2782
816003,3641
816004,3420
816004,2782
816004,3641
816005,3420
816005,2782
816005,3641
816005,2254
816006,2934
816006,2781
816006,3415
816007,4566
816007,2934
816007,2781
816007,3415
816008,4254
816008,2934
816008,2781
816008,3415
816009,2934
816009,2781
816009,3415
816010,2255
816010,2934
816010,2781
816010,3415
816011,3421
816011,2305
816011,2871
816011,3652
816011,3646
816011,3036
816011,1979
816011,3669
816011,1702
816011,3706
816011,3588
816011,3666
816011,3722
816012,3667
816012,3707
816012,1703
816012,3668
816012,1731
816012,3037
816012,3647
816012,3653
816012,2899
816012,2274
816012,3415
816013,3598
816013,4590
816013,3415
816014,3419
816014,4591
816014,3599
816015,3421
816015,2305
816015,2871
816015,3652
816015,3646
816015,3645
816015,3722
816015,3852
816016,3721
816016,3644
816016,1731
816016,3647
816016,3653
816016,2899
816016,2274
816016,3415
816039,636
816039,818
816039,3517
816039,508
816039,3106
816039,3514
816039,1000
816039,2342
816141,376
816141,1817
816153,33
